Array.Sort,6.584,6.586,6.551,6.623,6.599,6.491,6.646,6.53,6.751,6.53
Heap Sort,64.123,64.315,69.724,65.082,66.262,62.67,69.91,65.493,68.02,64.605
Merge Sort,26.508,26.704,26.702,26.471,26.173,26.393,26.717,26.664,26.356,27.71
Top-down Merge Sort,21.069,21.263,21.059,21.41,20.989,21.121,21.68,20.945,21.145,21.171
Quick Sort,13.579,13.477,13.525,13.505,13.385,13.426,13.41,13.402,13.441,13.433
